1
91 120
1 2 34
1 3 15
2 4 10
3 4 17
4 5 36
4 6 22
5 7 8
6 7 22
7 8 16
7 9 19
8 10 18
9 10 15
10 11 22
10 12 4
11 13 26
12 13 26
13 14 34
13 15 22
14 16 31
15 16 21
16 17 14
16 18 11
17 19 2
18 19 16
19 20 13
19 21 26
20 22 15
21 22 11
22 23 32
22 24 8
23 25 31
24 25 19
25 26 34
25 27 33
26 28 33
27 28 5
28 29 30
28 30 17
29 31 10
30 31 9
31 32 18
31 33 30
32 34 11
33 34 29
34 35 25
34 36 31
35 37 20
36 37 14
37 38 23
37 39 24
38 40 26
39 40 12
40 41 22
40 42 25
41 43 27
42 43 7
43 44 20
43 45 11
44 46 11
45 46 2
46 47 3
46 48 16
47 49 20
48 49 28
49 50 2
49 51 27
50 52 6
51 52 15
52 53 19
52 54 25
53 55 19
54 55 2
55 56 8
55 57 23
56 58 22
57 58 20
58 59 14
58 60 11
59 61 17
60 61 13
61 62 11
61 63 26
62 64 23
63 64 8
64 65 19
64 66 21
65 67 16
66 67 17
67 68 12
67 69 23
68 70 33
69 70 24
70 71 10
70 72 28
71 73 19
72 73 6
73 74 19
73 75 30
74 76 34
75 76 17
76 77 27
76 78 33
77 79 11
78 79 30
79 80 20
79 81 19
80 82 13
81 82 30
82 83 18
82 84 31
83 85 9
84 85 9
85 86 23
85 87 1
86 88 18
87 88 12
88 89 12
88 90 18
89 91 27
90 91 21
