1
100 99
1 2 2
2 3 1
3 4 2
4 5 1
5 6 2
6 7 1
7 8 2
8 9 1
9 10 2
10 11 1
11 12 2
12 13 1
13 14 2
14 15 1
15 16 2
16 17 1
17 18 2
18 19 1
19 20 2
20 21 1
21 22 2
22 23 1
23 24 2
24 25 1
25 26 2
26 27 1
27 28 2
28 29 1
29 30 2
30 31 1
31 32 2
32 33 1
33 34 2
34 35 1
35 36 2
36 37 1
37 38 2
38 39 1
39 40 2
40 41 1
41 42 2
42 43 1
43 44 2
44 45 1
45 46 2
46 47 1
47 48 2
48 49 1
49 50 2
50 51 1
51 52 2
52 53 1
53 54 2
54 55 1
55 56 2
56 57 1
57 58 2
58 59 1
59 60 2
60 61 1
61 62 2
62 63 1
63 64 2
64 65 1
65 66 2
66 67 1
67 68 2
68 69 1
69 70 2
70 71 1
71 72 2
72 73 1
73 74 2
74 75 1
75 76 2
76 77 1
77 78 2
78 79 1
79 80 2
80 81 1
81 82 2
82 83 1
83 84 2
84 85 1
85 86 2
86 87 1
87 88 2
88 89 1
89 90 2
90 91 1
91 92 2
92 93 1
93 94 2
94 95 1
95 96 2
96 97 1
97 98 2
98 99 1
99 100 2

